"name","abbr","Cancelled","Chargedoff","Completed","Current","Defaulted","Past Due","interest","id","Final Payment"
"Alabama","AL",0,0.141155449672424,0.291244788564622,0.472900536033353,0.0726622989874926,0.0208457415128052,0.208,"US01",0.00119118522930316
"Alaska","AK",0,0.075,0.375,0.515,0.015,0.01,0.1747,"US02",0.01
"Arizona","AZ",0,0.123619147816938,0.324566017885324,0.486059968437664,0.0494476591267754,0.0142030510257759,0.1845,"US04",0.00210415570752236
"Arkansas","AR",0,0.0748538011695906,0.237426900584795,0.651461988304094,0.0140350877192982,0.0222222222222222,0.2024,"US05",0
"California","CA",0,0.10695114493443,0.336821363049535,0.489841679690154,0.0497383977712849,0.0140653665828634,0.1829,"US06",0.00258204797173337
"Colorado","CO",0,0.0719457013574661,0.353393665158371,0.523529411764706,0.0330316742081448,0.016289592760181,0.1765,"US08",0.00180995475113122
"Connecticut","CT",0,0.0712968653964352,0.26060233558697,0.625691456668715,0.0178242163491088,0.0208973570989551,0.1795,"US09",0.00368776889981561
"Delaware","DE",0,0.08,0.24,0.633333333333333,0.0233333333333333,0.0166666666666667,0.1652,"US10",0.00666666666666667
"Florida","FL",0.000148809523809524,0.113244047619048,0.311607142857143,0.518303571428571,0.0330357142857143,0.0217261904761905,0.1774,"US12",0.00193452380952381
"Georgia","GA",0,0.137380191693291,0.349840255591054,0.42232428115016,0.0684904153354633,0.0191693290734824,0.1899,"US13",0.00279552715654952
"Hawaii","HI",0,0.078239608801956,0.276283618581907,0.603911980440098,0.019559902200489,0.0220048899755501,0.1774,"US15",0
"Idaho","ID",0,0.131886477462437,0.350584307178631,0.429048414023372,0.0651085141903172,0.0233722871452421,0.1998,"US16",0
"Illinois","IL",0,0.115689917243709,0.340651916905928,0.470528626921128,0.056916061476102,0.0152001351123121,0.1819,"US17",0.00101334234082081
"Indiana","IN",0,0.0943214629451396,0.32771896053898,0.524061597690087,0.0322425409047161,0.019730510105871,0.184,"US18",0.00192492781520693
"Iowa","IA",0,0.236559139784946,0.639784946236559,0,0.123655913978495,0,0.152,"US19",0
"Kansas","KS",0,0.0753295668549906,0.293785310734463,0.560263653483992,0.0461393596986817,0.0244821092278719,0.183,"US20",0
"Kentucky","KY",0,0.0966429298067141,0.260427263479145,0.597151576805697,0.0193285859613428,0.0254323499491353,0.196,"US21",0.00101729399796541
"Louisiana","LA",0,0.10272536687631,0.235849056603774,0.606918238993711,0.0262054507337526,0.0251572327044025,0.1899,"US22",0.00314465408805031
"Maine","ME",0,0.316831683168317,0.633663366336634,0,0.0495049504950495,0,0.15,"US23",0
"Maryland","MD",0,0.115561857497341,0.309110244594116,0.516129032258065,0.032258064516129,0.0251683800070897,0.184,"US24",0.00177242112725984
"Massachusetts","MA",0,0.0789473684210526,0.315789473684211,0.557537912578055,0.0263157894736842,0.0191793041926851,0.17265,"US25",0.00223015165031222
"Michigan","MI",0,0.104369607570276,0.332034511550237,0.487058168661286,0.0553854717506262,0.0192040077929307,0.195,"US26",0.00194823267464514
"Minnesota","MN",0,0.106125970664366,0.345125107851596,0.484469370146678,0.045297670405522,0.0172562553925798,0.184,"US27",0.00172562553925798
"Mississippi","MS",0,0.0991105463786531,0.247776365946633,0.603557814485388,0.0279542566709022,0.0203303684879288,0.1999,"US28",0.00127064803049555
"Missouri","MO",0,0.138432122370937,0.345697896749522,0.416443594646272,0.0738049713193117,0.0244741873804971,0.2,"US29",0.0011472275334608
"Montana","MT",0,0.0939393939393939,0.387878787878788,0.442424242424242,0.0666666666666667,0.00909090909090909,0.1882,"US30",0
"Nebraska","NE",0,0.0608308605341246,0.305637982195846,0.599406528189911,0.0222551928783383,0.0118694362017804,0.1769,"US31",0
"Nevada","NV",0,0.0761467889908257,0.218348623853211,0.656880733944954,0.0165137614678899,0.0284403669724771,0.197,"US32",0.0036697247706422
"New Hampshire","NH",0,0.0998185117967332,0.272232304900181,0.568058076225045,0.0417422867513612,0.0181488203266788,0.18,"US33",0
"New Jersey","NJ",0,0.07458831126897,0.2541168873103,0.620923474329997,0.0232483048111075,0.0258314497901195,0.1795,"US34",0.00129157248950597
"New Mexico","NM",0,0.0995762711864407,0.324152542372881,0.497881355932203,0.0635593220338983,0.0148305084745763,0.1899,"US35",0
"New York","NY",0,0.0682122157824342,0.287561301827909,0.601575271214148,0.0179818695199881,0.02244018427701,0.1774,"US36",0.00222915737851092
"North Carolina","NC",0.000324254215304799,0.126783398184176,0.330090791180285,0.49254215304799,0.0252918287937743,0.0230220492866407,0.1845,"US37",0.00194552529182879
"North Dakota","ND",0,0.153846153846154,0.711538461538462,0,0.134615384615385,0,0.20525,"US38",0
"Ohio","OH",0,0.100309745055992,0.294496068620443,0.548010483678818,0.0359780795806528,0.0195377650702883,0.1899,"US39",0.0016678579938051
"Oklahoma","OK",0,0.0988671472708548,0.340885684860968,0.507723995880536,0.0339855818743563,0.0185375901132853,0.1768,"US40",0
"Oregon","OR",0,0.124380847550908,0.380297193175564,0.425426527242708,0.0555861309851403,0.0143093010456797,0.1874,"US41",0
"Pennsylvania","PA",0,0.0797442799461642,0.267160161507402,0.608681022880215,0.0225437415881561,0.0198519515477793,0.1905,"US42",0.00201884253028264
"Rhode Island","RI",0,0.0827586206896552,0.227586206896552,0.629885057471264,0.0413793103448276,0.0137931034482759,0.1795,"US44",0.00459770114942529
"South Carolina","SC",0,0.0962566844919786,0.263814616755793,0.614081996434938,0.0089126559714795,0.0169340463458111,0.1852,"US45",0
"South Dakota","SD",0,0.0793650793650794,0.211640211640212,0.62962962962963,0.0317460317460317,0.0476190476190476,0.193,"US46",0
"Tennessee","TN",0,0.0972941853770869,0.288428324697755,0.563615428900403,0.026482440990213,0.023028209556707,0.1905,"US47",0.00115141047783535
"Texas","TX",0,0.0846243788365975,0.267611809412452,0.580239695995323,0.0499853843905291,0.0157848582285881,0.1825,"US48",0.00175387313650979
"Utah","UT",0,0.108323831242873,0.465222348916762,0.328392246294185,0.0752565564424173,0.0205245153933865,0.1875,"US49",0.00228050171037628
"Vermont","VT",0,0.0628019323671498,0.280193236714976,0.608695652173913,0.0241545893719807,0.0193236714975845,0.1795,"US50",0.00483091787439614
"Virginia","VA",0,0.0802318486882245,0.328859060402685,0.544234289200732,0.0231848688224527,0.0213544844417328,0.1774,"US51",0.00213544844417328
"Washington","WA",0,0.113188976377953,0.377952755905512,0.439304461942257,0.0518372703412074,0.0160761154855643,0.18245,"US53",0.00164041994750656
"West Virginia","WV",0,0.0895140664961637,0.324808184143222,0.519181585677749,0.040920716112532,0.0230179028132992,0.1769,"US54",0.00255754475703325
"Wisconsin","WI",0,0.0874049945711183,0.310532030401737,0.548317046688382,0.0325732899022801,0.0190010857763301,0.1734,"US55",0.00217155266015201
"Wyoming","WY",0,0.04,0.313333333333333,0.58,0.0266666666666667,0.0333333333333333,0.1902,"US56",0.00666666666666667
